n,Media,Minimo,Maximo
10,0.10,0.00,1.00
25,0.20,0.00,1.00
50,0.20,0.00,1.01
75,0.70,0.00,1.00
100,0.50,0.00,1.00
250,2.20,1.98,3.00
500,3.80,3.00,5.00
750,6.60,5.00,8.00
1000,8.90,7.95,10.00
2500,23.91,20.99,31.00
5000,53.70,50.00,65.00
7500,77.59,74.95,82.05
10000,126.30,111.00,155.02
25000,293.30,274.98,350.00
50000,645.14,632.00,659.00
75000,1096.39,1086.00,1128.00
100000,1347.26,1312.88,1424.41
250000,3679.72,3608.58,3818.99
500000,7819.22,7681.75,8336.73
750000,11998.34,11919.21,12181.41
1000000,17055.70,16803.00,17614.86
2500000,44978.97,44594.99,45396.14
5000000,101083.16,100292.58,101942.47
7500000,157365.84,155474.63,161363.24
