n,Média,Mínimo,Máximo
10,0.00,0.00,0.00
25,0.00,0.00,0.00
50,1.56,0.00,15.62
75,1.56,0.00,15.63
100,1.56,0.00,15.63
250,3.12,0.00,15.63
500,6.25,0.00,15.63
750,15.63,0.00,31.25
1000,18.75,15.56,31.25
2500,45.30,31.20,46.88
5000,96.88,93.74,109.42
7500,156.25,140.62,171.88
10000,231.26,203.12,343.75
25000,558.38,546.87,593.75
50000,1179.68,1156.25,1218.80
75000,1817.18,1781.25,1859.32
100000,2563.05,2500.00,2609.37
250000,6692.79,6593.74,6765.62
500000,14304.21,14140.62,14479.18
750000,22466.50,22234.35,22796.83
1000000,30310.30,29749.97,30772.85
2500000,80961.31,80374.75,81622.66
5000000,172463.33,170569.09,174694.36
7500000,267992.63,266519.85,269812.93
