n,Media,Minimo,Maximo
10,0.00,0.00,0.00
25,0.00,0.00,0.00
50,0.00,0.00,0.00
75,0.00,0.00,0.00
100,0.00,0.00,0.00
250,1.56,0.00,15.63
500,4.69,0.00,15.63
750,4.69,0.00,15.63
1000,7.81,0.00,15.63
2500,17.19,15.62,31.18
5000,40.62,31.25,46.88
7500,65.63,62.49,93.75
10000,87.50,78.12,93.75
25000,224.45,218.70,234.42
50000,512.76,500.00,518.17
75000,868.75,843.75,890.62
100000,1076.55,1062.49,1093.75
250000,2948.44,2921.87,2968.80
500000,6245.31,6140.61,6374.99
750000,9568.57,9499.98,9755.59
1000000,13354.22,13218.73,13718.74
2500000,36625.97,36144.76,37069.35
5000000,80701.65,80175.38,81359.04
7500000,125589.51,123871.16,136067.93
