n,Média,Mínimo,Máximo
10,0.00,0.00,0.00
25,0.10,0.00,0.98
50,0.12,0.00,1.16
75,3.13,0.00,15.68
100,1.57,0.00,15.68
250,9.37,0.00,15.63
500,25.00,15.62,31.30
750,48.21,46.82,52.80
1000,64.74,62.12,78.13
2500,234.05,218.75,250.00
5000,561.11,542.27,581.76
7500,856.20,814.55,1034.87
10000,1285.65,1252.18,1339.21
25000,3737.99,3678.19,3864.73
50000,8459.52,8314.53,8851.91
75000,13943.87,13874.72,14031.34
100000,18828.46,18537.43,19185.65
250000,53396.53,52736.84,54140.91
500000,118996.67,117240.74,120621.91
750000,199333.49,196959.13,202513.73
1000000,263278.58,260798.84,266927.57
2500000,793761.55,785460.40,800132.75
5000000,1760501.67,1738867.07,1805390.88
7500000,2660682.10,2630377.41,2688132.26
